Depcom	affichage	atteinte cible	Rep_hab graph	Rep_hab	Reste (num)	Nom Com Dep	Nom Commune	Latitude	Longitude	cible	nb rep 2019 cyclistes	Number of Records	Population	Unité affichage
91386	0.423429781	0.042342978	0.423429781	0.423429781	44	Mennecy-91	Mennecy	48.558624218	2.437532360	141.7	6	6	14170	réponses par habitant
91377	5.408220495	0.540822050	5.408220495	5.408220495	0	Massy-91	Massy	48.727789643	2.275131319	499.24	253	270	49924	réponses par habitant
91376	0.754716981	0.075471698	0.754716981	0.754716981	47	Marolles-en-Hurepoix-91	Marolles-en-Hurepoix	48.564979862	2.299206572	53	3	4	5300	réponses par habitant
91363	8	2.150669780	8	21.506697800	0	Marcoussis-91	Marcoussis	48.646332189	2.206213937	81.37	121	175	8137	réponses par habitant
91359	0.733675715	0.04	0.733675715	0.733675715	48	Maisse-91	Maisse	48.395894133	2.370094058	50	2	2	2726	réponses par habitant
91347	0.628733103	0.062873310	0.628733103	0.628733103	46	Longpont-sur-Orge-91	Longpont-sur-Orge	48.640455693	2.286470610	63.62	4	4	6362	réponses par habitant
91345	1.850309927	0.185030993	1.850309927	1.850309927	17	Longjumeau-91	Longjumeau	48.690048805	2.302470567	216.18	33	40	21618	réponses par habitant
91340	1.723909296	0.172390930	1.723909296	1.723909296	38	Lisses-91	Lisses	48.596668886	2.424690946	75.41	12	13	7541	réponses par habitant
91339	0.581226388	0.058122639	0.581226388	0.581226388	46	Linas-91	Linas	48.625506194	2.251353487	68.82	4	4	6882	réponses par habitant
91338	0.896191187	0.089619119	0.896191187	0.896191187	47	Limours-91	Limours	48.646543232	2.081256637	66.95	3	6	6695	réponses par habitant
91333	0.912408759	0.08	0.912408759	0.912408759	46	Leuville-sur-Orge-91	Leuville-sur-Orge	48.614191732	2.267869166	50	4	4	4384	réponses par habitant
91330	0.725426188	0.072542619	0.725426188	0.725426188	46	Lardy-91	Lardy	48.527035411	2.270177128	55.14	4	4	5514	réponses par habitant
91326	4.100116272	0.410011627	4.100116272	4.100116272	0	Juvisy-sur-Orge-91	Juvisy-sur-Orge	48.691878932	2.373936826	163.41	55	67	16341	réponses par habitant
91318	0.2	0.02	0.2	0.510464523	49	Janville-sur-Juine-91	Janville-sur-Juine	48.501113484	2.253857561	50	1	1	1959	réponses par habitant
91312	8	0.806126562	8	8.061265619	0	Igny-91	Igny	48.736225061	2.224420217	99.24	75	80	9924	réponses par habitant
