Depcom	affichage	atteinte cible	Rep_hab graph	Rep_hab	Reste (num)	Nom Com Dep	Nom Commune	Latitude	Longitude	cible	nb rep 2019 cyclistes	Number of Records	Population	Unité affichage
68166	8	0.806022356	8	8.060223557	0	Kingersheim-68	Kingersheim	47.788976517	7.322993352	131.51	98	106	13151	réponses par habitant
68163	0.2	0.019394880	0.2	0.193948798	49	Kembs-68	Kembs	47.679367488	7.500631305	51.56	1	1	5156	réponses par habitant
68162	0.2	0.02	0.2	0.217344056	49	Kaysersberg Vignoble-68	Kaysersberg Vignoble	48.155019258	7.238087687	50	1	1	4601	réponses par habitant
68156	1.169932729	0.08	1.169932729	1.169932729	46	Issenheim-68	Issenheim	47.903635885	7.257869728	50	4	4	3419	réponses par habitant
68155	0.429184549	0.04	0.429184549	0.429184549	48	Ingersheim-68	Ingersheim	48.101457202	7.310536809	50	2	2	4660	réponses par habitant
68154	1.168786525	0.116878652	1.168786525	1.168786525	36	Illzach-68	Illzach	47.7734992	7.360111369	145.45	14	17	14545	réponses par habitant
68149	8	0.804103702	8	8.041037016	0	Huningue-68	Huningue	47.588875386	7.581242517	72.13	57	58	7213	réponses par habitant
68145	0.514226945	0.051422695	0.514226945	0.514226945	47	Horbourg-Wihr-68	Horbourg-Wihr	48.08274524	7.403929868	58.34	3	3	5834	réponses par habitant
68135	1.113585746	0.06	1.113585746	1.113585746	47	Hésingue-68	Hésingue	47.579283771	7.515442737	50	3	3	2694	réponses par habitant
68126	5.223447475	0.36	5.223447475	5.223447475	33	Hégenheim-68	Hégenheim	47.561100478	7.526314048	50	17	18	3446	réponses par habitant
68120	2.446982055	0.06	2.446982055	2.446982055	47	Hagenthal-le-Bas-68	Hagenthal-le-Bas	47.530898061	7.481854178	50	3	3	1226	réponses par habitant
68118	0.827643286	0.08	0.827643286	0.827643286	47	Habsheim-68	Habsheim	47.726261392	7.433445712	50	3	4	4833	réponses par habitant
68112	3.344783945	0.334478395	3.344783945	3.344783945	14	Guebwiller-68	Guebwiller	47.909669221	7.210135000	110.62	36	37	11062	réponses par habitant
68095	2.613240418	0.06	2.613240418	2.613240418	47	Fortschwihr-68	Fortschwihr	48.085422713	7.452002059	50	3	3	1148	réponses par habitant
68093	0.2	0.02	0.2	0.686341798	50	Flaxlanden-68	Flaxlanden	47.692081414	7.325590277	50	0	1	1457	réponses par habitant
68082	0.267881061	0.026788106	0.267881061	0.267881061	48	Ensisheim-68	Ensisheim	47.853062866	7.372465146	74.66	2	2	7466	réponses par habitant
68078	0.2	0.02	0.2	0.578703704	49	Eguisheim-68	Eguisheim	48.037118305	7.300528761	50	1	1	1728	réponses par habitant
68076	0.2	0.02	0.2	1.137656428	49	Durrenentzen-68	Durrenentzen	48.094909263	7.508873660	50	1	1	879	réponses par habitant
68072	2.756719504	0.08	2.756719504	2.756719504	46	Dietwiller-68	Dietwiller	47.701067833	7.425997786	50	4	4	1451	réponses par habitant
68069	0.2	0.02	0.2	0.715307582	49	Dessenheim-68	Dessenheim	47.973559222	7.481934590	50	1	1	1398	réponses par habitant
68068	0.2	0.02	0.2	0.442673749	49	Dannemarie-68	Dannemarie	47.625140460	7.121819389	50	1	1	2259	réponses par habitant
68066	3.819797136	0.381979714	3.819797136	3.819797136	0	Colmar-68	Colmar	48.109940579	7.384686903	698.99	263	267	69899	réponses par habitant
68065	2.898550725	0.04	2.898550725	2.898550725	48	Chavannes-sur-l'Étang-68	Chavannes-sur-l'Étang	47.639646835	7.031037375	50	2	2	690	réponses par habitant
68063	0.688645950	0.068864595	0.688645950	0.688645950	43	Cernay-68	Cernay	47.794507815	7.179328204	116.17	7	8	11617	réponses par habitant
68058	0.2	0.02	0.2	0.303951368	49	Buhl-68	Buhl	47.924354609	7.179622291	50	1	1	3290	réponses par habitant
68056	7.261146497	0.726114650	7.261146497	7.261146497	0	Brunstatt-Didenheim-68	Brunstatt-Didenheim	47.715130037	7.326545961	78.5	56	57	7850	réponses par habitant
68055	0.2	0.02	0.2	0.943396226	50	Bruebach-68	Bruebach	47.700432424	7.358491052	50	0	1	1060	réponses par habitant
68045	0.2	0.02	0.2	1.757469244	49	Bourbach-le-Bas-68	Bourbach-le-Bas	47.772751520	7.053087142	50	1	1	569	réponses par habitant
68043	0.502638854	0.04	0.502638854	0.502638854	48	Bollwiller-68	Bollwiller	47.854030178	7.251594641	50	2	2	3979	réponses par habitant
68042	0.673098497	0.06	0.673098497	0.673098497	48	Blotzheim-68	Blotzheim	47.604166169	7.494674811	50	2	3	4457	réponses par habitant
68041	0.2	0.02	0.2	0.545553737	50	Blodelsheim-68	Blodelsheim	47.883590243	7.526127978	50	0	1	1833	réponses par habitant
68040	1.013684744	0.04	1.013684744	1.013684744	48	Bitschwiller-lès-Thann-68	Bitschwiller-lès-Thann	47.826849303	7.068967875	50	2	2	1973	réponses par habitant
68032	0.2	0.02	0.2	0.842459983	49	Berrwiller-68	Berrwiller	47.845922593	7.218453693	50	1	1	1187	réponses par habitant
68026	0.2	0.02	0.2	0.757002271	49	Bennwihr-68	Bennwihr	48.139446982	7.339815445	50	1	1	1321	réponses par habitant
68022	0.2	0.02	0.2	0.643086817	49	Battenheim-68	Battenheim	47.818845544	7.415352596	50	1	1	1555	réponses par habitant
68015	0.764818356	0.04	0.764818356	0.764818356	48	Baldersheim-68	Baldersheim	47.799045223	7.416012125	50	2	2	2615	réponses par habitant
68011	0.2	0.02	0.2	0.751314801	49	Aspach-le-Bas-68	Aspach-le-Bas	47.766494062	7.151060095	50	1	1	1331	réponses par habitant
68007	0.2	0.02	0.2	0.458715596	49	Andolsheim-68	Andolsheim	48.065220622	7.436542592	50	1	1	2180	réponses par habitant
68004	0.2	0.017316017	0.2	0.173160173	49	Altkirch-68	Altkirch	47.621033654	7.244843296	57.75	1	1	5775	réponses par habitant
67553	0.2	0.02	0.2	3.144654088	49	Wolschheim-67	Wolschheim	48.706871713	7.451281830	50	1	1	318	réponses par habitant
67551	4.590480792	0.38	4.590480792	4.590480792	31	Wolfisheim-67	Wolfisheim	48.586942679	7.663136387	50	19	19	4139	réponses par habitant
67547	0.2	0.02	0.2	0.486618005	49	Wittisheim-67	Wittisheim	48.263061609	7.590694386	50	1	1	2055	réponses par habitant
67544	0.921052632	0.092105263	0.921052632	0.921052632	43	Wissembourg-67	Wissembourg	49.018456254	7.961745759	76	7	7	7600	réponses par habitant
67539	0.2	0.02	0.2	0.440140845	49	Wingersheim les Quatre Bans-67	Wingersheim les Quatre Bans	48.729963294	7.638206365	50	1	1	2272	réponses par habitant
67532	0.2	0.02	0.2	0.919117647	49	Willgottheim-67	Willgottheim	48.673562814	7.515674310	50	1	1	1088	réponses par habitant
67529	8	1.66	8	24.887556222	0	Weyersheim-67	Weyersheim	48.716532823	7.830889918	50	81	83	3335	réponses par habitant
67527	7.380073801	0.04	7.380073801	7.380073801	49	Westhouse-Marmoutier-67	Westhouse-Marmoutier	48.685804725	7.454165858	50	1	2	271	réponses par habitant
67526	1.965923984	0.06	1.965923984	1.965923984	47	Westhouse-67	Westhouse	48.406813360	7.572395973	50	3	3	1526	réponses par habitant
67525	2.411091019	0.08	2.411091019	2.411091019	46	Westhoffen-67	Westhoffen	48.605055163	7.414838198	50	4	4	1659	réponses par habitant
67523	0.2	0.02	0.2	0.349283968	49	Weitbruch-67	Weitbruch	48.762124257	7.780275043	50	1	1	2863	réponses par habitant
67520	1.950354610	0.195035461	1.950354610	1.950354610	39	Wasselonne-67	Wasselonne	48.638878616	7.442304420	56.4	11	11	5640	réponses par habitant
67519	0.861474845	0.086147484	0.861474845	0.861474845	45	La Wantzenau-67	La Wantzenau	48.659328352	7.831434360	58.04	5	5	5804	réponses par habitant
67517	0.2	0.02	0.2	1.404494382	49	Wangen-67	Wangen	48.618868424	7.463402839	50	1	1	712	réponses par habitant
67506	0.904486252	0.090448625	0.904486252	0.904486252	45	Vendenheim-67	Vendenheim	48.667452448	7.739343784	55.28	5	5	5528	réponses par habitant
67504	2.313030069	0.06	2.313030069	2.313030069	47	Valff-67	Valff	48.422103305	7.526447189	50	3	3	1297	réponses par habitant
67497	0.2	0.02	0.2	1.434720230	49	Uhlwiller-67	Uhlwiller	48.820257869	7.674708037	50	1	1	697	réponses par habitant
67495	0.994530085	0.08	0.994530085	0.994530085	46	Truchtersheim-67	Truchtersheim	48.656484230	7.616504659	50	4	4	4022	réponses par habitant
67489	2.560819462	0.04	2.560819462	2.560819462	48	Thal-Marmoutier-67	Thal-Marmoutier	48.696077386	7.340567359	50	2	2	781	réponses par habitant
67485	2.904865650	0.08	2.904865650	2.904865650	48	Stutzheim-Offenheim-67	Stutzheim-Offenheim	48.626685468	7.627116111	50	2	4	1377	réponses par habitant
67482	8	1.005428166	8	10.054281663	0	Strasbourg-67	Strasbourg	48.571267985	7.767526795	2792.84	2770	2808	279284	réponses par habitant
67481	0.2	0.02	0.2	0.969932105	49	Stotzheim-67	Stotzheim	48.375776877	7.506747424	50	1	1	1031	réponses par habitant
67480	0.2	0.02	0.2	0.554323725	49	Still-67	Still	48.566622311	7.366405885	50	1	1	1804	réponses par habitant
67478	0.992063492	0.04	0.992063492	0.992063492	50	Steinbourg-67	Steinbourg	48.763964905	7.413511966	50	0	2	2016	réponses par habitant
67474	0.2	0.02	0.2	0.315159155	49	Soultz-sous-Forêts-67	Soultz-sous-Forêts	48.946164207	7.873598646	50	1	1	3173	réponses par habitant
67473	2.127659574	0.04	2.127659574	2.127659574	48	Soultz-les-Bains-67	Soultz-les-Bains	48.567610055	7.478205603	50	2	2	940	réponses par habitant
67471	1.781170483	0.178117048	1.781170483	1.781170483	36	Souffelweyersheim-67	Souffelweyersheim	48.631931169	7.741947271	78.6	14	14	7860	réponses par habitant
67465	0.2	0.02	0.2	0.434027778	49	Sessenheim-67	Sessenheim	48.795234921	7.980611458	50	1	1	2304	réponses par habitant
67463	1.209189843	0.08	1.209189843	1.209189843	46	Seltz-67	Seltz	48.893855305	8.104986825	50	4	4	3308	réponses par habitant
67462	3.817193056	0.381719306	3.817193056	3.817193056	0	Sélestat-67	Sélestat	48.248113628	7.462248965	191.24	72	73	19124	réponses par habitant
67458	0.610376399	0.06	0.610376399	0.610376399	48	Schweighouse-sur-Moder-67	Schweighouse-sur-Moder	48.817215924	7.737729825	50	2	3	4915	réponses par habitant
67452	0.2	0.02	0.2	0.643915003	49	Schnersheim-67	Schnersheim	48.660165398	7.568763644	50	1	1	1553	réponses par habitant
67449	0.2	0.02	0.2	0.452079566	49	Schirrhein-67	Schirrhein	48.795746001	7.916948691	50	1	1	2212	réponses par habitant
67447	8	0.990223508	8	9.902235076	0	Schiltigheim-67	Schiltigheim	48.611866026	7.744081993	318.11	310	315	31811	réponses par habitant
67445	0.2	0.02	0.2	0.315357931	49	Scherwiller-67	Scherwiller	48.295249132	7.415125203	50	1	1	3171	réponses par habitant
67442	1.662510391	0.04	1.662510391	1.662510391	48	Scharrachbergheim-Irmstett-67	Scharrachbergheim-Irmstett	48.589633788	7.490281768	50	2	2	1203	réponses par habitant
67438	2.364066194	0.04	2.364066194	2.364066194	48	Schaeffersheim-67	Schaeffersheim	48.434022042	7.613168261	50	2	2	846	réponses par habitant
67437	8	1.067168864	8	10.671688638	0	Saverne-67	Saverne	48.740225007	7.342062382	111.51	110	119	11151	réponses par habitant
67434	0.2	0.02	0.2	0.349040140	49	Sarre-Union-67	Sarre-Union	48.945186657	7.088631615	50	1	1	2865	réponses par habitant
67430	0.2	0.02	0.2	1.293661061	49	Saint-Pierre-Bois-67	Saint-Pierre-Bois	48.335742624	7.363729114	50	1	1	773	réponses par habitant
67420	0.2	0.02	0.2	0.791765637	49	Russ-67	Russ	48.485644468	7.269072621	50	1	1	1263	réponses par habitant
67411	1.573873697	0.157387370	1.573873697	1.573873697	42	Rosheim-67	Rosheim	48.490413735	7.412070077	50.83	8	8	5083	réponses par habitant
67410	0.2	0.02	0.2	1.432664756	49	Rosenwiller-67	Rosenwiller	48.508728450	7.425771486	50	1	1	698	réponses par habitant
67408	3.974562798	0.1	3.974562798	3.974562798	45	Romanswiller-67	Romanswiller	48.640759772	7.380325585	50	5	5	1258	réponses par habitant
67397	0.2	0.02	0.2	0.368053000	49	Rhinau-67	Rhinau	48.312222691	7.704444556	50	1	1	2717	réponses par habitant
67389	0.902934537	0.08	0.902934537	0.902934537	46	Reichstett-67	Reichstett	48.647487307	7.757030207	50	4	4	4430	réponses par habitant
67388	0.2	0.018542555	0.2	0.185425552	49	Reichshoffen-67	Reichshoffen	48.937473814	7.675243925	53.93	1	1	5393	réponses par habitant
67379	0.2	0.02	0.2	1.096491228	49	Preuschdorf-67	Preuschdorf	48.946855998	7.803680213	50	1	1	912	réponses par habitant
67378	1.353179973	0.12	1.353179973	1.353179973	44	Plobsheim-67	Plobsheim	48.461269776	7.734931232	50	6	6	4434	réponses par habitant
67375	2.321981424	0.06	2.321981424	2.321981424	47	Pfulgriesheim-67	Pfulgriesheim	48.644331861	7.665062856	50	3	3	1292	réponses par habitant
67372	0.4	0.04	0.4	0.4	48	Val-de-Moder-67	Val-de-Moder	48.843204796	7.598931217	50	2	2	5000	réponses par habitant
67367	2.228826152	0.06	2.228826152	2.228826152	47	Otterswiller-67	Otterswiller	48.722689852	7.378947548	50	3	3	1346	réponses par habitant
67366	4.424778761	0.06	4.424778761	4.424778761	47	Ottersthal-67	Ottersthal	48.758961669	7.342101580	50	3	3	678	réponses par habitant
67365	2.280950134	0.228095013	2.280950134	2.280950134	21	Ostwald-67	Ostwald	48.547132396	7.707604310	127.14	29	29	12714	réponses par habitant
67363	2.412545235	0.04	2.412545235	2.412545235	48	Osthoffen-67	Osthoffen	48.590139334	7.561839698	50	2	2	829	réponses par habitant
67358	0.2	0.02	0.2	1.243781095	49	Offwiller-67	Offwiller	48.917321847	7.542312049	50	1	1	804	réponses par habitant
67354	8	0.2	8	20.491803279	42	Odratzheim-67	Odratzheim	48.600135034	7.489854438	50	8	10	488	réponses par habitant
67351	1.791044776	0.06	1.791044776	1.791044776	47	Seebach-67	Seebach	48.964420923	7.990281086	50	3	3	1675	réponses par habitant
67348	8	1.013420981	8	10.134209806	0	Obernai-67	Obernai	48.459346732	7.480064347	109.53	105	111	10953	réponses par habitant
67345	0.2	0.02	0.2	0.288683603	49	Oberhoffen-sur-Moder-67	Oberhoffen-sur-Moder	48.780104027	7.887385132	50	1	1	3464	réponses par habitant
67344	0.2	0.02	0.2	3.012048193	49	Oberhoffen-lès-Wissembourg-67	Oberhoffen-lès-Wissembourg	49.010762821	7.914519333	50	1	1	332	réponses par habitant
67343	8	1.170351105	8	11.703511053	0	Oberhausbergen-67	Oberhausbergen	48.607300294	7.683099132	53.83	54	63	5383	réponses par habitant
67327	0.2	0.02	0.2	1.034126163	49	Niederlauterbach-67	Niederlauterbach	48.971274266	8.105266729	50	1	1	967	réponses par habitant
67326	4.599211564	0.14	4.599211564	4.599211564	43	Niederhausbergen-67	Niederhausbergen	48.623309008	7.705157488	50	7	7	1522	réponses par habitant
67324	0.455062571	0.04	0.455062571	0.455062571	48	Niederbronn-les-Bains-67	Niederbronn-les-Bains	48.963815711	7.639860934	50	2	2	4395	réponses par habitant
67322	0.2	0.02	0.2	0.893655049	49	Neuwiller-lès-Saverne-67	Neuwiller-lès-Saverne	48.827134145	7.366065722	50	1	1	1119	réponses par habitant
67317	0.2	0.02	0.2	1.438848921	50	Neubois-67	Neubois	48.302881734	7.317628557	50	0	1	695	réponses par habitant
67313	4.339118825	0.433911883	4.339118825	4.339118825	26	Mutzig-67	Mutzig	48.538054845	7.455303156	59.92	24	26	5992	réponses par habitant
67311	4.943153732	0.2	4.943153732	4.943153732	40	Muttersholtz-67	Muttersholtz	48.268719025	7.533065928	50	10	10	2023	réponses par habitant
67309	1.054629825	0.1	1.054629825	1.054629825	45	Mundolsheim-67	Mundolsheim	48.639502824	7.714959010	50	5	5	4741	réponses par habitant
67302	0.2	0.02	0.2	0.474158369	50	Monswiller-67	Monswiller	48.752196306	7.386264474	50	0	1	2109	réponses par habitant
67301	1.101928375	0.04	1.101928375	1.101928375	48	Mommenheim-67	Mommenheim	48.755874258	7.649835242	50	2	2	1815	réponses par habitant
67300	8	1.173810037	8	11.738100366	0	Molsheim-67	Molsheim	48.544719616	7.499500130	92.86	108	109	9286	réponses par habitant
67299	0.2	0.02	0.2	1.077586207	49	Mollkirch-67	Mollkirch	48.505837384	7.365683749	50	1	1	928	réponses par habitant
67296	2.585315408	0.1	2.585315408	2.585315408	45	Mittelhausbergen-67	Mittelhausbergen	48.614408892	7.693883608	50	5	5	1934	réponses par habitant
67286	0.2	0.02	0.2	0.680735194	49	Meistratzheim-67	Meistratzheim	48.452528686	7.561139026	50	1	1	1469	réponses par habitant
67283	2.587800370	0.14	2.587800370	2.587800370	43	Marmoutier-67	Marmoutier	48.694247484	7.370996771	50	7	7	2705	réponses par habitant
67282	4.723665564	0.4	4.723665564	4.723665564	33	Marlenheim-67	Marlenheim	48.619054283	7.505892111	50	17	20	4234	réponses par habitant
67281	0.724287784	0.06	0.724287784	0.724287784	47	Marckolsheim-67	Marckolsheim	48.149622239	7.561018060	50	3	3	4142	réponses par habitant
67276	0.2	0.02	0.2	0.525210084	49	Lutzelhouse-67	Lutzelhouse	48.537684270	7.241742553	50	1	1	1904	réponses par habitant
67275	2.538071066	0.04	2.538071066	2.538071066	48	Lupstein-67	Lupstein	48.737965072	7.475928161	50	2	2	788	réponses par habitant
67271	0.2	0.02	0.2	1.567398119	49	Lobsann-67	Lobsann	48.963239055	7.843585483	50	1	1	638	réponses par habitant
67269	0.2	0.02	0.2	3.521126761	49	Littenheim-67	Littenheim	48.725211579	7.492953805	50	1	1	284	réponses par habitant
67268	1.557632399	0.08	1.557632399	1.557632399	46	Lipsheim-67	Lipsheim	48.489376887	7.656658648	50	4	4	2568	réponses par habitant
67267	3.123485379	0.312348538	3.123485379	3.123485379	0	Lingolsheim-67	Lingolsheim	48.554487585	7.680938407	185.69	51	58	18569	réponses par habitant
67261	8	1.12	8	24.443474465	0	Lauterbourg-67	Lauterbourg	48.963711635	8.186377258	50	50	56	2291	réponses par habitant
67256	0.2	0.02	0.2	0.332889481	49	Lampertheim-67	Lampertheim	48.655103965	7.694050521	50	1	1	3004	réponses par habitant
67252	1.906577693	0.04	1.906577693	1.906577693	49	Kurtzenhouse-67	Kurtzenhouse	48.737285824	7.805142915	50	1	2	1049	réponses par habitant
67250	0.2	0.02	0.2	1.277139208	49	Kriegsheim-67	Kriegsheim	48.756786714	7.735499106	50	1	1	783	réponses par habitant
67239	0.2	0.02	0.2	0.616903146	49	Kintzheim-67	Kintzheim	48.258588050	7.374322362	50	1	1	1621	réponses par habitant
67228	2.509410289	0.04	2.509410289	2.509410289	48	Neugartheim-Ittlenheim-67	Neugartheim-Ittlenheim	48.656536961	7.541468769	50	2	2	797	réponses par habitant
67226	1.411764706	0.06	1.411764706	1.411764706	47	Ittenheim-67	Ittenheim	48.601751458	7.605095805	50	3	3	2125	réponses par habitant
67223	1.686340641	0.04	1.686340641	1.686340641	48	Innenheim-67	Innenheim	48.497544402	7.573529762	50	2	2	1186	réponses par habitant
67222	0.738007380	0.06	0.738007380	0.738007380	48	Ingwiller-67	Ingwiller	48.885913108	7.469188327	50	2	3	4065	réponses par habitant
67218	3.428102992	0.342810299	3.428102992	3.428102992	0	Illkirch-Graffenstaden-67	Illkirch-Graffenstaden	48.520049896	7.731295881	268.37	90	92	26837	réponses par habitant
67216	0.739371534	0.04	0.739371534	0.739371534	48	Huttenheim-67	Huttenheim	48.353768645	7.575345326	50	2	2	2705	réponses par habitant
67212	1.658833287	0.12	1.658833287	1.658833287	44	Holtzheim-67	Holtzheim	48.556763413	7.644252868	50	6	6	3617	réponses par habitant
67208	0.2	0.02	0.2	1.897533207	50	Hohengœft-67	Hohengoeft	48.660752797	7.467422973	50	0	1	527	réponses par habitant
67205	2.081406105	0.18	2.081406105	2.081406105	41	Hœrdt-67	Hoerdt	48.690567404	7.784834782	50	9	9	4324	réponses par habitant
67204	4.735948530	0.473594853	4.735948530	4.735948530	0	Hœnheim-67	Hoenheim	48.624206841	7.753656666	111.91	53	53	11191	réponses par habitant
67202	0.505305710	0.04	0.505305710	0.505305710	48	Hochfelden-67	Hochfelden	48.755837303	7.563128873	50	2	2	3958	réponses par habitant
67196	0.753863551	0.04	0.753863551	0.753863551	48	Hilsenheim-67	Hilsenheim	48.296957325	7.573119378	50	2	2	2653	réponses par habitant
67192	0.2	0.02	0.2	1.091703057	49	Herbsheim-67	Herbsheim	48.349438958	7.636750545	50	1	1	916	réponses par habitant
67188	0.2	0.02	0.2	1.517450683	49	Heiligenberg-67	Heiligenberg	48.537172421	7.377894599	50	1	1	659	réponses par habitant
67180	1.596053395	0.159605340	1.596053395	1.596053395	0	Haguenau-67	Haguenau	48.841704769	7.830104050	344.6	53	55	34460	réponses par habitant
67177	0.2	0.02	0.2	1.510574018	49	Gunstett-67	Gunstett	48.915074689	7.779038053	50	1	1	662	réponses par habitant
67172	0.2	0.02	0.2	0.462107209	49	Griesheim-près-Molsheim-67	Griesheim-près-Molsheim	48.502035664	7.531131918	50	1	1	2164	réponses par habitant
67169	1.048584411	0.06	1.048584411	1.048584411	47	Gries-67	Gries	48.751362163	7.824734377	50	3	3	2861	réponses par habitant
67168	1.179245283	0.04	1.179245283	1.179245283	48	Gresswiller-67	Gresswiller	48.524989907	7.409910982	50	2	2	1696	réponses par habitant
67164	0.2	0.02	0.2	1.179245283	49	Goxwiller-67	Goxwiller	48.430923926	7.483449514	50	1	1	848	réponses par habitant
67162	0.2	0.02	0.2	2.932551320	49	Gottesheim-67	Gottesheim	48.775797243	7.481070911	50	1	1	341	réponses par habitant
67161	5.181347150	0.04	5.181347150	5.181347150	48	Gottenhouse-67	Gottenhouse	48.718013585	7.358341975	50	2	2	386	réponses par habitant
67154	0.873616773	0.06	0.873616773	0.873616773	47	Gerstheim-67	Gerstheim	48.380778837	7.704531745	50	3	3	3434	réponses par habitant
67152	2.407704655	0.240770465	2.407704655	2.407704655	33	Geispolsheim-67	Geispolsheim	48.514346309	7.658065612	74.76	17	18	7476	réponses par habitant
67151	0.416319734	0.04	0.416319734	0.416319734	48	Gambsheim-67	Gambsheim	48.692311077	7.884087820	50	2	2	4804	réponses par habitant
67150	1.518602885	0.04	1.518602885	1.518602885	49	Furdenheim-67	Furdenheim	48.610563783	7.557897730	50	1	2	1317	réponses par habitant
67149	0.2	0.02	0.2	2.409638554	49	Furchhausen-67	Furchhausen	48.720494992	7.430415101	50	1	1	415	réponses par habitant
67137	1.225061253	0.122506125	1.225061253	1.225061253	43	Fegersheim-67	Fegersheim	48.497440167	7.688633173	57.14	7	7	5714	réponses par habitant
67131	1.176009408	0.117600941	1.176009408	1.176009408	44	Eschau-67	Eschau	48.483229539	7.729555367	51.02	6	6	5102	réponses par habitant
67130	1.218483457	0.121848346	1.218483457	1.218483457	37	Erstein-67	Erstein	48.421368793	7.685236299	106.69	13	13	10669	réponses par habitant
67128	1.620745543	0.06	1.620745543	1.620745543	47	Ernolsheim-Bruche-67	Ernolsheim-Bruche	48.563754294	7.569033016	50	3	3	1851	réponses par habitant
67124	2.204585538	0.1	2.204585538	2.204585538	45	Entzheim-67	Entzheim	48.535884692	7.633245375	50	5	5	2268	réponses par habitant
67119	0.2	0.02	0.2	0.760456274	49	Eckwersheim-67	Eckwersheim	48.685285290	7.696347963	50	1	1	1315	réponses par habitant
67118	4.309704265	0.430970427	4.309704265	4.309704265	21	Eckbolsheim-67	Eckbolsheim	48.579005306	7.682162956	67.29	29	29	6729	réponses par habitant
67117	0.2	0.02	0.2	2.352941176	49	Eckartswiller-67	Eckartswiller	48.779643836	7.324193573	50	1	1	425	réponses par habitant
67115	0.893255918	0.04	0.893255918	0.893255918	48	Ebersheim-67	Ebersheim	48.302434871	7.498457827	50	2	2	2239	réponses par habitant
67108	0.2	0.02	0.2	0.630119723	49	Duppigheim-67	Duppigheim	48.533131230	7.595993753	50	1	1	1587	réponses par habitant
67104	0.2	0.02	0.2	1.193317422	49	Drachenbronn-Birlenbach-67	Drachenbronn-Birlenbach	48.980987896	7.878078541	50	1	1	838	réponses par habitant
67103	0.2	0.02	0.2	0.931098696	49	Dossenheim-sur-Zinsel-67	Dossenheim-sur-Zinsel	48.814142481	7.377632155	50	1	1	1074	réponses par habitant
67101	1.527883881	0.08	1.527883881	1.527883881	46	Dorlisheim-67	Dorlisheim	48.519942712	7.480357358	50	4	4	2618	réponses par habitant
67092	3.189792663	0.04	3.189792663	3.189792663	49	Dieffenbach-au-Val-67	Dieffenbach-au-Val	48.314402451	7.325996419	50	1	2	627	réponses par habitant
67089	1.147666412	0.06	1.147666412	1.147666412	48	Dettwiller-67	Dettwiller	48.760835103	7.454058083	50	2	3	2614	réponses par habitant
67087	0.2	0.02	0.2	0.692520776	49	Dauendorf-67	Dauendorf	48.833965856	7.666133097	50	1	1	1444	réponses par habitant
67085	0.2	0.02	0.2	1.369863014	49	Dangolsheim-67	Dangolsheim	48.564723663	7.457355668	50	1	1	730	réponses par habitant
67082	0.2	0.02	0.2	0.893655049	49	Dalhunden-67	Dalhunden	48.771169812	7.991590835	50	1	1	1119	réponses par habitant
67080	2.762430939	0.1	2.762430939	2.762430939	45	Dachstein-67	Dachstein	48.553555897	7.540503776	50	5	5	1810	réponses par habitant
67078	0.2	0.02	0.2	3.703703704	49	Crastatt-67	Crastatt	48.659645371	7.422690001	50	1	1	270	réponses par habitant
67077	0.2	0.02	0.2	1.760563380	50	Cosswiller-67	Cosswiller	48.608673746	7.362248724	50	0	1	568	réponses par habitant
67073	1.924001924	0.16	1.924001924	1.924001924	42	Châtenois-67	Châtenois	48.280331491	7.385829377	50	8	8	4158	réponses par habitant
67072	0.2	0.02	0.2	1.483679525	50	Butten-67	Butten	48.971395594	7.243569669	50	0	1	674	réponses par habitant
67067	1.815797438	0.181579744	1.815797438	1.815797438	33	Brumath-67	Brumath	48.720465611	7.717401936	99.13	17	18	9913	réponses par habitant
67065	1.589825119	0.04	1.589825119	1.589825119	48	Breuschwickersheim-67	Breuschwickersheim	48.578440458	7.598858980	50	2	2	1258	réponses par habitant
67061	0.2	0.02	0.2	0.246184146	49	Bouxwiller-67	Bouxwiller	48.817299809	7.464880215	50	1	1	4062	réponses par habitant
67054	0.2	0.02	0.2	1.934235977	49	Bolsenheim-67	Bolsenheim	48.425239497	7.603956598	50	1	1	517	réponses par habitant
67052	0.2	0.02	0.2	0.411184211	49	Bœrsch-67	Boersch	48.466486032	7.375051137	50	1	1	2432	réponses par habitant
67046	0.318445984	0.031844598	0.318445984	0.318445984	46	Bischwiller-67	Bischwiller	48.758131731	7.859983646	125.61	4	4	12561	réponses par habitant
67045	0.900360144	0.06	0.900360144	0.900360144	47	Bischoffsheim-67	Bischoffsheim	48.485526718	7.525990358	50	3	3	3332	réponses par habitant
67043	3.841676368	0.384167637	3.841676368	3.841676368	0	Bischheim-67	Bischheim	48.621531606	7.758642825	171.8	66	66	17180	réponses par habitant
67032	0.2	0.02	0.2	4.347826087	49	Bernardvillé-67	Bernardvillé	48.369616948	7.406840556	50	1	1	230	réponses par habitant
67030	2.861230329	0.04	2.861230329	2.861230329	48	Bergbieten-67	Bergbieten	48.577124472	7.450726197	50	2	2	699	réponses par habitant
67028	0.522830254	0.052283025	0.522830254	0.522830254	47	Benfeld-67	Benfeld	48.365922909	7.601973386	57.38	3	3	5738	réponses par habitant
67021	0.415800416	0.041580042	0.415800416	0.415800416	47	Barr-67	Barr	48.414951236	7.399304388	72.15	3	3	7215	réponses par habitant
67019	0.2	0.02	0.2	0.861326443	49	Baldenheim-67	Baldenheim	48.2444211	7.535868446	50	1	1	1161	réponses par habitant
